Category,ID,Text,Instrument,Trait,Response Type,Tier,Options,Reversed
"personality","STD_OPENNESS_1","When I discover a hidden path while walking, I usually take it to see where it leads","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_OPENNESS_2","I get excited when someone recommends music from a genre I've never explored","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_OPENNESS_3","I prefer restaurants where I can order the same dish I love every time","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_OPENNESS_4","Abstract art often speaks to me in ways I can't quite explain","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_OPENNESS_5","I enjoy conversations that challenge my fundamental beliefs","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_OPENNESS_6","When traveling, I prefer having every detail planned in advance","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_OPENNESS_7","I often find myself lost in Wikipedia rabbit holes for hours","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_OPENNESS_8","I'd rather watch a documentary about quantum physics than a romantic comedy","BFI-2-Extended","openness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_CONSCIENTIOUSNESS_1","My workspace naturally stays organized without much effort","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_CONSCIENTIOUSNESS_2","I often start projects with enthusiasm but struggle to finish them","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_CONSCIENTIOUSNESS_3","I arrive at least 10 minutes early to appointments","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_CONSCIENTIOUSNESS_4","My to-do lists have sub-lists with their own sub-lists","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_CONSCIENTIOUSNESS_5","I can work effectively even when my environment is chaotic","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_CONSCIENTIOUSNESS_6","I review my work multiple times before considering it complete","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_CONSCIENTIOUSNESS_7","Deadlines motivate me - I work best under pressure","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_CONSCIENTIOUSNESS_8","I keep track of my expenses down to the penny","BFI-2-Extended","conscientiousness","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_EXTRAVERSION_1","After a long week, a crowded party sounds perfect","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_EXTRAVERSION_2","I need alone time to recharge after social events","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","true"
"personality","STD_EXTRAVERSION_3","I naturally take charge when working in groups","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
"personality","STD_EXTRAVERSION_4","Small talk with strangers energizes me","BFI-2-Extended","extraversion","likert","free","Strongly Disagree | Disagree | Neutral | Agree | Strongly Agree","false"
